12.88216501148894,
12.495325501340176,
2.0473662899006544,
-8.705404126676344,
-7.647162324789468,
-4.012845190678882,
-9.125887079690006,
-11.254234089855869,
-2.0584713315264365,
4.902982380008297,
0.6657987365301767,
-3.817051517185928,
-1.5655908607179352,
-5.069465020025078,
-9.103930862445111,
5.382144959990924,
