12.881847531554628,
14.494456086997712,
0.6633580893826191,
-7.645436509716318,
-10.921732151041414,
0.3133451683171687,
-10.221031700108728,
-14.3682944510253,
1.9931197648375385,
1.3337460465860485,
5.464683003382316,
-9.139709437353126,
0.050052836265724446,
-0.6474176037268788,
-15.058290012607419,
5.379971786610338,
