-10.061415063617478,
-0.30473406040806417,
11.812375006125627,
2.5731096249672785,
-8.748721925177293,
3.0024122358007634,
11.297635149459538,
-2.274828064953308,
-10.986971472910737,
-0.43818088612542994,
6.0166637677520365,
-3.4179098150631564,
-1.2766778161140566,
7.99163302548843,
5.9863211365750315,
4.877591715533704,
